sentence,length
jọshua,6
ọjọ jẹ ñwu jọshua koji mosẹs,28
1 oñ i lewatu abu ku mosẹs adu jihofa lẹ leku jihofa ka ñwu jọshua ọma nun ki ache ẹwñ ñwu mosẹs lẹ kakini,106
2 mosẹs adumi la leku mẹ todulẹ uwẹ ki kwanẹ kẹ daba jọrdani uwẹ kpai amonẹi chaka mẹ nyoj anẹ ku nadu ñwu ma owñ chamọma israẹli,129
3 ugbo du kadaba ẹrẹwẹ manẹ uwẹ omi du ñwu alu ku ka ñwu mosẹs lẹ,65
4 akwo ajẹtachi kpai anẹ lẹbanọn kidẹ gbogbo wohimini elile owñ chohimini yufretis kpai anẹ abo hẹt chaka gbogbo wohimini elile ọwọ olanẹ elẹ chalọmẹwẹ,151
5 i nẹnẹ du ki aneke gbọna nyuwẹ ọjọ du kudejuwẹ kade n alu ku dugbo mosẹs alu lẹ nadugbo wẹ gẹ nawe ehi iñmi kẹ n nahi uwẹ tinyọ n,131
6 feju gbiti kẹ fẹdọ nẹ todu uwẹ ajẹ ñw amonẹi jẹ anẹ ku gọ ñw amatama ka ku nadu ñwu mai ẹwñ ogu,97
7 feju gbiti kate kẹ fẹdọ nẹ nana kẹ fejutẹ kẹ che teju alu du kukọọla ki mosẹs adumi ñwa ñw ẹ lẹ ka ẹ ki rida bọ tẹ tọwọ awọtọ abẹk awohi n todu ki ra ñw ẹ ugbo du kuwẹ anyi,174
8 ọla ọtakada ukọọlai akwo buwẹ alu tẹ n ama ẹ nayayewñ tọrọka todu todu kuwẹ ki dejutẹ kẹ che teju alu du ku ma kọrubutu efuwñ todu ẹgbalẹ ẹwñwẹ kẹ che anawo ñw ẹ ẹgbalẹ tak i ara ñw ẹ,185
9 i chomi ñwa ñw ẹ n ẹ feju gbiti kẹ la fẹdọ nẹ ẹ ki chokpo n ẹdọwẹ ki da kpu n todu jihofa ọjọwẹ dugbo wẹ ugbo du kuwẹ anyi,124
